customer_id,full_name,date_of_birth,gender,pan_number,email,phone,city,state,pincode,kyc_status,segment,relationship_start_dt,risk_category
CUST0030,Customer 30,01-09-1992,M,ABCDE3442F,customer30@example.com,9685823118,Mumbai,Telangana,552702,VERIFIED,Retail,19-07-2024,LOW
CUST0031,Customer 31,12-01-1988,M,ABCDE2684F,customer31@example.com,9479759538,Pune,UP,562703,VERIFIED,Corporate,13-06-2023,LOW
CUST0032,Customer 32,14-03-1975,M,ABCDE6442F,customer32@example.com,9940081098,Chennai,Tamil Nadu,469942,VERIFIED,HNI,11-07-2025,LOW
CUST0033,Customer 33,08-08-1967,F,ABCDE6728F,customer33@example.com,9427696198,Bangalore,Tamil Nadu,406204,VERIFIED,Retail,26-07-2023,LOW
CUST0034,Customer 34,12-05-1969,F,ABCDE9785F,customer34@example.com,9455569462,Mumbai,Karnataka,468476,VERIFIED,Corporate,11-08-2018,LOW
CUST0035,Customer 35,14-10-1971,F,ABCDE8149F,customer35@example.com,9750911797,Pune,Karnataka,500977,PENDING,Retail,05-12-2021,LOW
CUST0036,Customer 36,17-01-1992,M,ABCDE6967F,customer36@example.com,9563102056,Mumbai,Telangana,563357,VERIFIED,HNI,04-10-2016,MEDIUM
CUST0037,Customer 37,10-09-1984,F,ABCDE6344F,customer37@example.com,9532074125,Hyderabad,Gujarat,545336,VERIFIED,Retail,29-04-2018,HIGH
CUST0038,Customer 38,19-10-1976,F,ABCDE9977F,customer38@example.com,9995205588,Mumbai,Gujarat,475213,VERIFIED,HNI,06-06-2022,MEDIUM
CUST0039,Customer 39,15-08-1985,M,ABCDE9375F,customer39@example.com,9608079792,Hyderabad,Delhi,572714,VERIFIED,Retail,04-11-2020,MEDIUM
CUST0040,Customer 40,27-02-1986,M,ABCDE6085F,customer40@example.com,9341206079,Bangalore,Delhi,406403,VERIFIED,Corporate,19-05-2017,MEDIUM
CUST0041,Customer 41,14-08-1969,M,ABCDE7291F,customer41@example.com,9630833445,Chennai,Tamil Nadu,438685,VERIFIED,Retail,28-09-2018,MEDIUM
CUST0042,Customer 42,08-07-1971,F,ABCDE1822F,customer42@example.com,9698509918,Bangalore,Karnataka,519659,VERIFIED,Retail,31-10-2023,LOW
CUST0043,Customer 43,11-10-2000,F,ABCDE9270F,customer43@example.com,9558209399,Pune,Punjab,441723,VERIFIED,Retail,02-05-2017,LOW
CUST0044,Customer 44,09-11-1980,F,ABCDE4919F,customer44@example.com,9394846763,Chennai,Karnataka,587052,VERIFIED,Retail,20-03-2017,LOW
CUST0045,Customer 45,05-02-1999,M,ABCDE7275F,customer45@example.com,9845122940,Bangalore,Tamil Nadu,416838,VERIFIED,Retail,11-02-2024,LOW
CUST0046,Customer 46,27-04-1968,F,ABCDE1320F,customer46@example.com,9922050912,Pune,UP,525038,VERIFIED,Retail,03-02-2021,MEDIUM
CUST0047,Customer 47,24-09-1991,M,ABCDE8999F,customer47@example.com,9335602191,Delhi,UP,527309,VERIFIED,Retail,25-07-2017,MEDIUM
CUST0048,Customer 48,06-12-1990,F,ABCDE3091F,customer48@example.com,9768143326,Pune,Maharashtra,503291,VERIFIED,Retail,18-05-2016,LOW
CUST0049,Customer 49,28-03-1992,M,ABCDE1823F,customer49@example.com,9379340713,Chennai,Telangana,455486,VERIFIED,Retail,16-08-2020,MEDIUM
CUST0050,Customer 50,09-07-1982,M,ABCDE8705F,customer50@example.com,9120812641,Hyderabad,West Bengal,413654,REJECTED,Retail,10-06-2016,MEDIUM
CUST0051,Customer 51,08-01-1967,M,ABCDE3496F,customer51@example.com,9356135680,Bangalore,Punjab,575495,VERIFIED,Corporate,27-07-2023,LOW
CUST0052,Customer 52,06-06-1981,M,ABCDE3683F,customer52@example.com,9433975497,Mumbai,Rajasthan,406732,PENDING,Retail,04-01-2019,HIGH
CUST0053,Customer 53,23-07-1989,M,ABCDE4978F,customer53@example.com,9209415691,Hyderabad,Gujarat,579375,VERIFIED,Retail,31-07-2023,HIGH
CUST0054,Customer 54,18-06-1967,F,ABCDE2129F,customer54@example.com,9643271261,Hyderabad,Telangana,403317,PENDING,HNI,31-12-2020,LOW
CUST0055,Customer 55,27-11-1988,M,ABCDE8135F,customer55@example.com,9289125618,Hyderabad,West Bengal,570514,VERIFIED,HNI,24-08-2020,LOW
CUST0056,Customer 56,14-08-1995,F,ABCDE6280F,customer56@example.com,9363598427,Mumbai,Gujarat,518176,VERIFIED,Retail,17-07-2016,MEDIUM
CUST0057,Customer 57,01-06-1989,F,ABCDE3979F,customer57@example.com,9623502759,Bangalore,Telangana,467726,VERIFIED,HNI,05-04-2020,MEDIUM
CUST0058,Customer 58,01-09-1982,M,ABCDE2402F,customer58@example.com,9359154084,Hyderabad,UP,528078,VERIFIED,Retail,04-01-2020,LOW
CUST0059,Customer 59,26-08-1996,M,ABCDE5820F,customer59@example.com,9337937327,Chennai,Tamil Nadu,480271,VERIFIED,Retail,11-08-2025,LOW
CUST0060,Customer 60,24-07-1987,F,ABCDE6764F,customer60@example.com,9854684750,Chennai,Gujarat,480380,VERIFIED,Retail,19-08-2019,LOW
CUST0061,Customer 61,18-12-1972,M,ABCDE4138F,customer61@example.com,9332341238,Hyderabad,Punjab,472483,VERIFIED,Corporate,04-04-2017,LOW
CUST0062,Customer 62,27-02-1983,F,ABCDE4727F,customer62@example.com,9487493096,Bangalore,Gujarat,403709,VERIFIED,Retail,17-08-2023,LOW
CUST0063,Customer 63,10-09-1968,M,ABCDE9042F,customer63@example.com,9210152642,Mumbai,Rajasthan,474538,VERIFIED,Retail,25-12-2017,LOW
CUST0064,Customer 64,28-05-1968,M,ABCDE2070F,customer64@example.com,9530256336,Chennai,Karnataka,551263,VERIFIED,Retail,12-06-2020,LOW
CUST0065,Customer 65,08-02-1984,F,ABCDE4697F,customer65@example.com,9932894596,Pune,UP,518100,PENDING,Retail,22-06-2024,LOW
CUST0066,Customer 66,19-05-1992,M,ABCDE2625F,customer66@example.com,9918982730,Bangalore,Tamil Nadu,469376,VERIFIED,Retail,03-11-2018,LOW
CUST0067,Customer 67,01-03-1969,F,ABCDE8699F,customer67@example.com,9412737284,Mumbai,Tamil Nadu,475525,VERIFIED,HNI,22-03-2021,LOW
CUST0068,Customer 68,26-05-1979,M,ABCDE7965F,customer68@example.com,9223240112,Pune,Tamil Nadu,569774,VERIFIED,Retail,06-12-2016,LOW
CUST0069,Customer 69,26-03-1968,F,ABCDE8195F,customer69@example.com,9233523720,Chennai,Gujarat,583431,VERIFIED,Retail,10-05-2022,LOW
CUST0070,Customer 70,20-02-1993,F,ABCDE6280F,customer70@example.com,9748232591,Delhi,Maharashtra,423941,VERIFIED,Retail,10-05-2025,MEDIUM
CUST0071,Customer 71,27-11-1966,M,ABCDE3870F,customer71@example.com,9605196410,Pune,Punjab,472918,VERIFIED,Retail,13-10-2022,MEDIUM
CUST0072,Customer 72,16-02-1996,F,ABCDE6460F,customer72@example.com,9444733679,Hyderabad,Karnataka,442160,VERIFIED,Retail,25-11-2021,LOW
CUST0073,Customer 73,02-09-1990,M,ABCDE6153F,customer73@example.com,9371011200,Delhi,Karnataka,505953,PENDING,HNI,14-09-2020,LOW
CUST0074,Customer 74,14-08-1999,M,ABCDE9494F,customer74@example.com,9488457631,Pune,Punjab,563948,VERIFIED,Retail,12-03-2025,LOW
CUST0075,Customer 75,15-05-1973,F,ABCDE2989F,customer75@example.com,9130998324,Hyderabad,Rajasthan,462731,VERIFIED,Retail,21-12-2017,LOW
CUST0076,Customer 76,08-02-1991,M,ABCDE8560F,customer76@example.com,9226128312,Hyderabad,Delhi,530647,PENDING,Retail,14-05-2016,MEDIUM
CUST0077,Customer 77,16-08-1991,F,ABCDE3369F,customer77@example.com,9511872350,Bangalore,Rajasthan,533233,VERIFIED,Retail,26-01-2023,LOW
CUST0078,Customer 78,26-06-1991,F,ABCDE1042F,customer78@example.com,9403696046,Hyderabad,Gujarat,553863,VERIFIED,Retail,10-02-2020,MEDIUM
CUST0079,Customer 79,16-09-1993,F,ABCDE9903F,customer79@example.com,9505026213,Chennai,Telangana,449455,REJECTED,Retail,07-12-2021,LOW
CUST0080,Customer 80,11-01-1991,F,ABCDE7246F,customer80@example.com,9514548900,Hyderabad,Delhi,529848,REJECTED,Retail,14-06-2017,HIGH
CUST0081,Customer 81,28-02-1986,F,ABCDE2633F,customer81@example.com,9664735673,Chennai,Maharashtra,589385,VERIFIED,HNI,29-04-2016,HIGH
CUST0082,Customer 82,26-08-1969,F,ABCDE7512F,customer82@example.com,9797756796,Mumbai,Telangana,576779,PENDING,Retail,31-10-2022,LOW
CUST0083,Customer 83,02-09-1996,M,ABCDE4846F,customer83@example.com,9777703980,Hyderabad,Gujarat,459635,VERIFIED,Retail,17-11-2018,LOW
CUST0084,Customer 84,06-08-1971,F,ABCDE1474F,customer84@example.com,9149382425,Delhi,Maharashtra,476905,VERIFIED,Retail,08-01-2018,LOW
CUST0085,Customer 85,22-10-1991,M,ABCDE3785F,customer85@example.com,9287979290,Mumbai,Rajasthan,500282,VERIFIED,Retail,30-11-2016,HIGH
CUST0086,Customer 86,15-04-1974,F,ABCDE8529F,customer86@example.com,9374154962,Hyderabad,Maharashtra,521964,PENDING,Retail,26-08-2018,LOW
CUST0087,Customer 87,19-06-1993,F,ABCDE5097F,customer87@example.com,9590523712,Delhi,Tamil Nadu,500846,PENDING,Retail,13-06-2022,LOW
CUST0088,Customer 88,10-10-1987,F,ABCDE1359F,customer88@example.com,9991246046,Hyderabad,UP,471954,VERIFIED,HNI,17-12-2017,MEDIUM
CUST0089,Customer 89,24-10-1968,F,ABCDE4770F,customer89@example.com,9751831074,Delhi,Tamil Nadu,566886,VERIFIED,Retail,26-03-2020,MEDIUM
CUST0090,Customer 90,04-11-1973,M,ABCDE6061F,customer90@example.com,9946764061,Chennai,Maharashtra,551932,VERIFIED,Retail,07-10-2018,HIGH
CUST0091,Customer 91,14-12-1985,M,ABCDE3165F,customer91@example.com,9944511703,Pune,Telangana,539160,VERIFIED,Retail,01-11-2023,LOW
CUST0092,Customer 92,24-05-1995,M,ABCDE8673F,customer92@example.com,9180852074,Bangalore,Tamil Nadu,577295,VERIFIED,Corporate,02-01-2022,HIGH
CUST0093,Customer 93,03-06-2000,F,ABCDE1228F,customer93@example.com,9383960237,Pune,Karnataka,519220,VERIFIED,HNI,08-12-2016,LOW
CUST0094,Customer 94,12-11-1989,M,ABCDE8724F,customer94@example.com,9126870011,Pune,West Bengal,485985,PENDING,Retail,03-08-2024,LOW
CUST0095,Customer 95,10-12-1994,F,ABCDE2911F,customer95@example.com,9250084428,Mumbai,Maharashtra,479788,REJECTED,Retail,10-07-2018,LOW
CUST0096,Customer 96,13-03-1999,F,ABCDE9850F,customer96@example.com,9550033924,Pune,Delhi,508760,VERIFIED,HNI,18-09-2020,MEDIUM
CUST0097,Customer 97,23-01-1982,M,ABCDE8264F,customer97@example.com,9577488537,Bangalore,Telangana,426046,REJECTED,Retail,25-08-2021,HIGH
CUST0098,Customer 98,13-01-1987,M,ABCDE3001F,customer98@example.com,9984968439,Chennai,Karnataka,573741,VERIFIED,Retail,16-09-2022,HIGH
CUST0099,Customer 99,08-06-1968,M,ABCDE2124F,customer99@example.com,9991010113,Pune,Tamil Nadu,553717,VERIFIED,HNI,23-05-2024,LOW
CUST0100,Customer 100,01-10-1974,M,ABCDE3129F,customer100@example.com,9680051935,Delhi,Delhi,428817,VERIFIED,Retail,11-09-2022,LOW
